ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
CA23014630,"06/24/2023, 1:38:00 PM","07/27/2023, 1:20:27 AM",LETHBRIDGE,AB,.,1000 Block MAYOR MAGRATH DR, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA23010169,"05/08/2023, 6:26:00 AM","07/27/2023, 1:20:24 AM",LETHBRIDGE,AB,.,1200 Block 5 AV, RMS] Mischief,Property Crime,Mischief
CA23017542,"04/23/2023, 8:50:00 AM","07/27/2023, 1:20:05 AM",LETHBRIDGE,AB,.,400 Block COLUMBIA BD, RMS] Fraud,Other,Fraud
CA23012109,"05/28/2023, 7:01:00 PM","07/26/2023, 5:16:12 PM",LETHBRIDGE,AB,.,1200 Block 8 ST, RMS] Fraud,Other,Fraud
CA23010497,"05/11/2023, 10:02:00 PM","07/26/2023, 9:22:21 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23054213,"06/26/2023, 7:00:00 AM","07/26/2023, 9:22:09 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054212,"06/15/2023, 7:00:00 AM","07/26/2023, 9:22:09 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054211,"04/11/2023, 7:00:00 AM","07/26/2023, 9:22:09 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054209,"05/09/2023, 7:00:00 AM","07/26/2023, 9:22:09 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054208,"06/16/2023, 7:00:00 AM","07/26/2023, 9:22:08 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054204,"06/25/2023, 6:25:00 PM","07/26/2023, 1:16:25 AM",LETHBRIDGE,AB,.,100 Block 1 AV," RMS] Fail to Comply with Conditions/Appear, etc. 145(3), 145(4), 145(5)",Other,"Fail to Comply with Conditions/Appear, etc. 145(3), 145(4), 145(5)"
CA23012682,"05/19/2023, 2:00:00 PM","07/26/2023, 1:16:31 AM",LETHBRIDGE,AB,.,1 Block FAIRMONT CV, RMS] Fraud,Other,Fraud
CA23012092,"05/26/2023, 7:00:00 PM","07/25/2023, 8:26:07 AM",LETHBRIDGE,AB,T1J 2G6,UNKNOWN, RMS] Take Vehicle without Consent / Auto,Theft of Vehicle,Take Vehicle without Consent / Auto
CA23010063,"05/07/2023, 5:04:00 AM","07/24/2023, 12:53:51 AM",LETHBRIDGE,AB,.,1 Block AV & WHOOP UP DR, RMS] Check On Welfare,Other,Check On Welfare
CA23015104,"06/29/2023, 6:50:00 PM","07/24/2023, 12:53:57 AM",LETHBRIDGE,AB,.,2800 Block PARKSIDE DR, RMS] Assist Others,Other,Assist Others
CA23014586,"06/24/2023, 2:28:00 AM","07/24/2023, 12:53:57 AM",LETHBRIDGE,AB,.,1000 Block MAYOR MAGRATH DR, RMS] Commercial Robbery,Robbery,Commercial Robbery
CA23014425,"06/21/2023, 1:45:00 AM","07/24/2023, 12:53:57 AM",LETHBRIDGE,AB,.,1 Block BLACKFOOT BD, RMS] Assist Others,Other,Assist Others
CA23017322,"07/01/2023, 12:51:00 AM","07/23/2023, 8:33:23 AM",LETHBRIDGE,AB,.,3700 Block MAYOR MAGRATH DR, RMS] Fraud,Other,Fraud
CA23015097,"06/29/2023, 3:50:00 PM","07/23/2023, 12:33:16 AM",LETHBRIDGE,AB,.,600 Block 3 AV, RMS] Overdose,Other,Overdose
CA23009903,"05/05/2023, 12:00:00 PM","07/22/2023, 8:40:49 AM",LETHBRIDGE,AB,.,1 Block SQUAMISH BD, RMS] Theft From Auto Under,Theft from Vehicle,Theft From Auto Under
CA23011387,"05/21/2023, 4:28:00 AM","07/22/2023, 12:40:24 AM",LETHBRIDGE COUNTY,AB,T1K 7N3,200 Block STUBB ROSS RD, RMS] Possession of Stolen Goods over $5000,Property Crime,Possession of Stolen Goods over $5000
CA23009844,"05/04/2023, 7:00:00 PM","07/22/2023, 12:40:23 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Assault,Assault,Assault
RM23052296,"05/03/2023, 8:00:00 PM","07/21/2023, 9:32:51 AM",LETHBRIDGE,AB,.,1 Block TEMPLE BD, RMS] PACT (Police and Crisis Team),Other,PACT (Police and Crisis Team)
CA23017093,"04/01/2023, 7:49:00 PM","07/21/2023, 8:33:21 AM",LETHBRIDGE,AB,.,2100 Block 13 AV, RMS] Theft Under,Theft,Theft Under
CA23009726,"05/03/2023, 5:00:00 AM","07/21/2023, 1:32:16 AM",LETHBRIDGE,AB,.,1 Block RIVERWOOD MN, RMS] Domestic Related,Other,Domestic Related
CA23016372,"04/16/2023, 7:00:00 PM","07/20/2023, 4:28:01 PM",LETHBRIDGE,AB,.,1200 Block 9 ST, RMS] Theft Under,Theft,Theft Under
CA23009700,"05/03/2023, 6:07:00 AM","07/20/2023, 9:28:40 AM",LETHBRIDGE,AB,.,1000 Block 27A ST, RMS] Check On Welfare,Other,Check On Welfare
RM23054097,"06/16/2023, 8:09:00 AM","07/20/2023, 8:27:27 AM",LETHBRIDGE,AB,.,400 Block 7 ST, RMS] Mischief - Graffiti,Property Crime,Mischief - Graffiti
CA23009650,"05/02/2023, 7:56:00 PM","07/20/2023, 8:27:35 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
AR23100440,"06/01/2023, 7:00:00 AM","07/20/2023, 1:27:31 AM",LETHBRIDGE,AB,.,100 Block UPLANDS BD, RMS] Mischief to MV,Theft from Vehicle,Mischief to MV
CA23009591,"05/02/2023, 5:34:00 AM","07/20/2023, 12:27:39 AM",LETHBRIDGE,AB,.,500 Block ARBOURWOOD TE, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA23011857,"05/26/2023, 10:55:00 AM","07/20/2023, 12:27:40 AM",LETHBRIDGE,AB,.,2400 Block 20 ST, RMS] Theft of Motorcycle,Theft of Vehicle,Theft of Motorcycle
CA23009562,"05/01/2023, 11:47:00 PM","07/19/2023, 9:11:56 AM",LETHBRIDGE,AB,.,1 Block AV & 10 ST, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
RM23052258,"05/02/2023, 12:11:00 AM","07/19/2023, 9:21:55 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23054072,"06/15/2023, 7:00:00 AM","07/19/2023, 9:11:21 AM",LETHBRIDGE,AB,.,1700 Block 16 AV, RMS] Lost Property,Other,Lost Property
CA23014392,"06/20/2023, 2:03:00 AM","07/19/2023, 9:11:58 AM",LETHBRIDGE,AB,.,1200 Block 11 AV, RMS] TSA - Hit and Run,Other,TSA - Hit and Run
RM23052609,"05/17/2023, 10:16:00 PM","07/19/2023, 1:12:07 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23054061,"06/09/2023, 7:00:00 AM","07/19/2023, 1:12:06 AM",LETHBRIDGE,AB,T1J 2G6,UNKNOWN, RMS] TSA - Hit and Run,Other,TSA - Hit and Run
CA23013412,"06/10/2023, 11:45:00 AM","07/19/2023, 1:12:30 AM",LETHBRIDGE,AB,T0K 0T0,2500 Block 46 ST, RMS] Mischief to MV,Theft from Vehicle,Mischief to MV
CA23014984,"06/28/2023, 3:21:00 PM","07/18/2023, 4:49:32 PM",LETHBRIDGE,AB,.,1400 Block 11 AV, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA23009006,"04/25/2023, 1:01:00 PM","07/18/2023, 8:49:42 AM",LETHBRIDGE,AB,.,3500 Block FORESTRY AV, RMS] Theft Under,Theft,Theft Under
CA23009473,"04/29/2023, 5:00:00 AM","07/18/2023, 8:49:42 AM",LETHBRIDGE,AB,.,4500 Block 28 AV, RMS] Threats,Other,Threats
CA23009155,"04/24/2023, 7:00:00 PM","07/18/2023, 8:49:42 AM",LETHBRIDGE,AB,.,1600 Block 15 AV, RMS] Juvenile Trouble,Other,Juvenile Trouble
CA23008263,"04/04/2023, 7:00:00 AM","07/18/2023, 8:49:41 AM",LETHBRIDGE,AB,.,2200 Block 7 AV, RMS] Missing Pers Adult - Male,Other,Missing Pers Adult - Male
CA23009036,"04/26/2023, 1:10:00 AM","07/18/2023, 8:49:42 AM",LETHBRIDGE,AB,.,1600 Block 29 ST, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
RM23052739,"04/26/2023, 7:00:00 AM","07/18/2023, 8:49:35 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23008013,"04/14/2023, 1:59:00 AM","07/18/2023, 8:49:38 AM",LETHBRIDGE,AB,T1H 2M1,1200 Block 8 AV, RMS] Assault - Bh/Weapon,Assault,Assault - Bh/Weapon
CA23007732,"04/10/2023, 4:08:00 PM","07/18/2023, 8:49:36 AM",LETHBRIDGE,AB,.,1200 Block 2A AV, RMS] Loitering / Panhandling,Quality of Life,Loitering / Panhandling
CA23007841,"04/11/2023, 10:04:00 PM","07/18/2023, 8:49:36 AM",LETHBRIDGE,AB,.,1 Block AV & 36 ST, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA23007761,"04/10/2023, 10:45:00 PM","07/18/2023, 8:49:36 AM",LETHBRIDGE,AB,.,1 Block AV & 13 ST, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA23007447,"04/07/2023, 1:44:00 AM","07/18/2023, 8:49:35 AM",LETHBRIDGE,AB,.,1 Block PURDUE CT, RMS] Domestic Related,Other,Domestic Related
CA23007327,"04/05/2023, 5:55:00 AM","07/18/2023, 8:49:34 AM",LETHBRIDGE,AB,.,1 Block ST & 3 AV, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA23007433,"04/05/2023, 6:34:00 PM","07/18/2023, 8:49:35 AM",LETHBRIDGE,AB,.,1400 Block 28 ST, RMS] TSA - Hit and Run,Other,TSA - Hit and Run
CA23007080,"04/02/2023, 5:28:00 AM","07/18/2023, 8:49:34 AM",LETHBRIDGE,AB,.,3200 Block 20 AV, RMS] Assist Others,Other,Assist Others
CA23007029,"04/01/2023, 4:04:00 PM","07/18/2023, 8:49:34 AM",LETHBRIDGE,AB,.,500 Block 13 ST, RMS] Other Drugs - Possession,Quality of Life,Other Drugs - Possession
CA23008189,"04/15/2023, 2:03:00 PM","07/18/2023, 8:49:40 AM",LETHBRIDGE,AB,.,400 Block STAFFORD DR, RMS] Assist Others,Other,Assist Others
CA23016840,"06/16/2023, 9:06:00 PM","07/18/2023, 8:49:05 AM",LETHBRIDGE,AB,.,2100 Block 5 AV, RMS] Theft Under,Theft,Theft Under
RM23054037,"05/10/2023, 7:00:00 AM","07/18/2023, 8:49:36 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23054036,"06/05/2023, 7:00:00 AM","07/18/2023, 8:49:36 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Conditional Sentence Order,Other,Conditional Sentence Order
RM23052039,"04/19/2023, 5:42:00 AM","07/18/2023, 8:49:35 AM",LETHBRIDGE,AB,.,900 Block 2 AV, RMS] Other Drugs - Traffic,Quality of Life,Other Drugs - Traffic
RM23054029,"06/28/2023, 7:00:00 AM","07/18/2023, 12:49:00 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23054026,"06/22/2023, 7:00:00 AM","07/18/2023, 12:49:00 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23008171,"04/15/2023, 4:05:00 PM","07/18/2023, 12:49:23 AM",LETHBRIDGE,AB,.,3700 Block MAYOR MAGRATH DR, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
CA23008200,"04/15/2023, 8:25:00 PM","07/18/2023, 12:49:23 AM",LETHBRIDGE,AB,.,1 Block ST & ST EDWARD BD, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA23016758,"06/08/2023, 7:00:00 AM","07/17/2023, 5:07:31 PM",LETHBRIDGE,AB,.,1200 Block 5 AV, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
RM23054010,"05/25/2023, 3:00:00 PM","07/17/2023, 9:07:07 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23014490,"06/22/2023, 10:05:00 PM","07/17/2023, 1:08:50 AM",LETHBRIDGE,AB,.,900 Block 19 ST, RMS] Assist Others,Other,Assist Others
CA23014414,"06/21/2023, 6:50:00 PM","07/17/2023, 1:08:58 AM",LETHBRIDGE,AB,.,100 Block JERRY POTTS BD, RMS] Assist Others,Other,Assist Others
CA23014723,"06/25/2023, 10:25:00 AM","07/17/2023, 1:08:58 AM",LETHBRIDGE,AB,.,2200 Block 7 AV, RMS] Assist Others,Other,Assist Others
CA23014411,"06/21/2023, 6:50:00 AM","07/17/2023, 1:08:57 AM",LETHBRIDGE,AB,.,400 Block COLUMBIA BD, RMS] Assist Others,Other,Assist Others
CA23010873,"05/16/2023, 2:20:00 AM","07/17/2023, 1:08:57 AM",LETHBRIDGE,AB,.,1 Block AV & 5 ST, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CA23010797,"05/15/2023, 4:45:00 AM","07/17/2023, 1:08:58 AM",LETHBRIDGE,AB,.,600 Block COLUMBIA BD, RMS] Mental Health Act,Other,Mental Health Act
CA23015256,"07/01/2023, 4:40:00 AM","07/15/2023, 8:48:28 AM",LETHBRIDGE,AB,.,1200 Block 9 AV, RMS] Check On Welfare,Other,Check On Welfare
RM23053945,"06/07/2023, 7:00:00 AM","07/15/2023, 8:48:26 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
RM23053944,"05/17/2023, 7:00:00 AM","07/15/2023, 8:48:26 AM",LETHBRIDGE,AB,.,., RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
CA23014044,"06/17/2023, 1:00:00 AM","07/15/2023, 8:48:15 AM",LETHBRIDGE,AB,.,500 Block STAFFORD DR, RMS] Assist Others,Other,Assist Others
CC23151447,"06/14/2023, 7:10:00 PM","07/15/2023, 8:48:35 AM",LETHBRIDGE,AB,.,1 Block ST & 5 AV, RMS] Property Damage Collision over $2000,Traffic,Property Damage Collision over $2000
RM23053936,"06/24/2023, 7:00:00 AM","07/15/2023, 12:48:30 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
CA23008111,"04/15/2023, 2:45:00 AM","07/15/2023, 12:48:30 AM",LETHBRIDGE,AB,.,300 Block TARTAN CI, RMS] Mischief,Property Crime,Mischief
CA23007929,"04/06/2023, 3:52:00 AM","07/14/2023, 9:21:53 AM",LETHBRIDGE,AB,.,900 Block 2A AV, RMS] Missing Pers Adult - Female,Other,Missing Pers Adult - Female
RM23053920,"04/27/2023, 9:00:00 AM","07/14/2023, 9:21:53 AM",LETHBRIDGE,AB,.,1400 Block 31 ST, RMS] Theft Under,Theft,Theft Under
CA23007922,"04/11/2023, 7:00:00 PM","07/14/2023, 9:21:52 AM",LETHBRIDGE,AB,.,400 Block 12 ST, RMS] Fraud,Other,Fraud
CA23016444,"06/14/2023, 3:00:00 PM","07/14/2023, 9:07:53 AM",LETHBRIDGE,AB,.,1 Block FAIRMONT BD, RMS] Fraud,Other,Fraud
CA23016459,"06/18/2023, 9:50:00 PM","07/14/2023, 9:08:26 AM",LETHBRIDGE,AB,.,700 Block 17 ST, RMS] Threats,Other,Threats
RM23053917,"05/11/2023, 8:10:00 PM","07/14/2023, 9:08:17 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Shoplifting $5000 or Under,Theft,Shoplifting $5000 or Under
RM23053918,"05/11/2023, 8:10:00 PM","07/14/2023, 9:08:18 AM",LETHBRIDGE,AB,.,500 Block 1 AV, RMS] Shoplifting $5000 or Under,Theft,Shoplifting $5000 or Under
RM23053916,"06/30/2023, 3:00:00 PM","07/14/2023, 9:08:17 AM",LETHBRIDGE,AB,.,3700 Block MAYOR MAGRATH DR, RMS] Assist Others,Other,Assist Others
RM23151532,"06/26/2023, 4:45:00 PM","07/14/2023, 1:07:44 AM",LETHBRIDGE,AB,.,1000 Block 2 AV, RMS] TSA - Hit and Run,Other,TSA - Hit and Run
CA23010043,"05/07/2023, 2:00:00 AM","07/14/2023, 1:08:57 AM",LETHBRIDGE,AB,.,UNIVERSITY DR & PARKWAY RD, RMS] Impaired Operation (Alcohol),Traffic,Impaired Operation (Alcohol)
CA23015428,"07/01/2023, 4:28:00 AM","07/13/2023, 4:47:52 PM",LETHBRIDGE,AB,.,700 Block MT SUNDANCE LN, RMS] Fraud,Other,Fraud
RM23053895,"06/06/2023, 7:00:00 AM","07/13/2023, 8:48:30 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Fail to Comply with Probation 137 YCJA,Other,Fail to Comply with Probation 137 YCJA
RM23053881,"06/01/2023, 3:00:00 PM","07/13/2023, 8:48:13 AM",LETHBRIDGE,AB,.,500 Block 36 ST, RMS] Lost Property,Other,Lost Property
RM23053887,"04/04/2023, 7:00:00 AM","07/13/2023, 8:48:30 AM",LETHBRIDGE,AB,.,1 Block LAVAL CT, RMS] Theft From Auto Under,Theft from Vehicle,Theft From Auto Under
RM23053886,"04/02/2023, 1:00:00 AM","07/13/2023, 8:48:29 AM",LETHBRIDGE,AB,.,2200 Block 5 AV, RMS] Theft From Auto Under,Theft from Vehicle,Theft From Auto Under
RM23053880,"04/11/2023, 10:10:00 AM","07/13/2023, 8:48:29 AM",LETHBRIDGE,AB,.,200 Block STONECREST BY, RMS] Fraud,Other,Fraud
RM23053877,"04/11/2023, 10:50:00 AM","07/13/2023, 8:48:29 AM",LETHBRIDGE,AB,.,100 Block STONECREST PT, RMS] Break and Enter - Residential  CC 348(1)(d),Other,Break and Enter - Residential  CC 348(1)(d)
CA23010642,"05/13/2023, 7:42:00 AM","07/13/2023, 12:48:15 AM",LETHBRIDGE,AB,.,MAYOR MAGRATH DR & UNNAMED, RMS] Impaired Operation (Alcohol),Traffic,Impaired Operation (Alcohol)
RM23053867,"05/11/2023, 9:00:00 PM","07/12/2023, 8:50:02 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23053864,"06/23/2023, 7:00:00 AM","07/12/2023, 8:49:56 AM",LETHBRIDGE,AB,.,200 Block 5 AV, RMS] Breach Of Probation - Adult,Other,Breach Of Probation - Adult
CA23016216,"06/30/2023, 10:23:00 PM","07/12/2023, 12:49:39 AM",LETHBRIDGE,AB,.,200 Block 2 AV, RMS] Missing Pers Adult - Female,Other,Missing Pers Adult - Female
CA23014911,"06/27/2023, 10:40:00 PM","07/12/2023, 12:49:36 AM",LETHBRIDGE,AB,.,1 Block AV & SCENIC DR, RMS] Property Damage Collision over $2000,Traffic,Property Damage Collision over $2000
RM23053856,"06/01/2023, 4:04:00 PM","07/12/2023, 12:49:40 AM",LETHBRIDGE,AB,.,1 Block PRINCETON RD, RMS] Assist Others,Other,Assist Others
CA23012593,"06/02/2023, 8:36:00 PM","07/11/2023, 9:00:00 AM",LETHBRIDGE,AB,.,500 Block 6 AV, RMS] Encampment,Other,Encampment
RM23053839,"06/30/2023, 3:00:00 PM","07/11/2023, 1:01:28 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
AR23100411,"07/01/2023, 12:30:00 AM","07/11/2023, 1:01:12 AM",LETHBRIDGE,AB,.,MT BLAKISTON RD & MT BLAKISTON PL, RMS] Lost Property,Other,Lost Property
RM23053835,"06/28/2023, 7:00:00 AM","07/11/2023, 1:01:27 AM",LETHBRIDGE,AB,.,1200 Block 5 AV, RMS] Sexual Assault,Sexual Offense,Sexual Assault
CA23016004,"05/01/2023, 7:50:00 AM","07/09/2023, 4:40:25 PM",LETHBRIDGE,AB,.,200 Block SUNRIDGE RD, RMS] Break and Enter - Residential  CC 348(1)(d),Other,Break and Enter - Residential  CC 348(1)(d)
CA23015998,"06/30/2023, 7:00:00 PM","07/09/2023, 4:40:24 PM",LETHBRIDGE,AB,.,400 Block FAIRMONT BD, RMS] Lost Property,Other,Lost Property
CA23014469,"06/22/2023, 1:50:00 PM","07/09/2023, 8:41:00 AM",LETHBRIDGE,AB,.,1 Block AV & 20 ST, RMS] Property Damage Collision over $2000,Traffic,Property Damage Collision over $2000
CA23015947,"06/30/2023, 7:00:00 PM","07/09/2023, 8:40:50 AM",LETHBRIDGE,AB,.,700 Block 10 ST, RMS] Neighbour Disputes,Quality of Life,Neighbour Disputes
CA23015869,"06/07/2023, 11:44:00 PM","07/08/2023, 9:09:33 AM",LETHBRIDGE,AB,.,1 Block HAWTHORNE PL, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
CA23015082,"06/28/2023, 11:07:00 PM","07/08/2023, 9:09:21 AM",LETHBRIDGE,AB,.,SCENIC DR & 15 ST, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
RM23052006,"04/17/2023, 3:59:00 PM","07/08/2023, 8:08:46 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Check On Welfare,Other,Check On Welfare
CC23151145,"04/20/2023, 10:00:00 PM","07/08/2023, 9:09:15 AM",LETHBRIDGE,AB,.,1 Block EAGLE RD, RMS] Motor Vehicle Injury Collision,Traffic,Motor Vehicle Injury Collision
CA23012605,"06/02/2023, 7:09:00 PM","07/08/2023, 9:09:19 AM",LETHBRIDGE,AB,.,500 Block 5 AV, RMS] Suspicious Person/Vehicle,Other,Suspicious Person/Vehicle
CC23150587,"06/27/2023, 9:00:00 PM","07/08/2023, 9:09:15 AM",LETHBRIDGE,AB,.,1200 Block 2A AV, RMS] TSA - Hit and Run,Other,TSA - Hit and Run
CA23015259,"07/01/2023, 6:09:00 AM","07/08/2023, 1:09:36 AM",LETHBRIDGE,AB,.,ASHGROVE RD & FORESTRY AV, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
